Scientific_name;Genera_timediv;Log_body_size ;log_lengthsize;Species_richness;log_speciesrich
Mobula rochebrunei;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula tarapacana;NA;7.661195222;5.686975356;11.00;2.397895273
Mobula thurstoni;NA;7.661195222;5.686975356;11.00;2.397895273
Mustelus ravidus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus mosis;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus lunulatus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus griseus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus mustelus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus californicus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus norrisi;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus albipinnis;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus henlei;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus canis;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus sinusmexicanus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus punctulatus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus lenticulatus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus antarcticus;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus stevensi;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus asterias;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus palumbes;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus manazo;0.17;4.633234792;4.872904621;28.00;3.33220451
Mustelus schmitti;0.17;4.633234792;4.872904621;28.00;3.33220451
Myliobatis tobijei;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis goodei;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis aquila;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis australis;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis californica;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis chilensis;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis freminvillei;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis hamlyni ;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis peruvianus;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis ridens;393;6.095295633;4.744932128;12.00;2.48490665
Myliobatis longirostris;393;6.095295633;4.744932128;12.00;2.48490665
Narcine timlei;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine entemedor;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine brunnea;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine westraliensis;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine lasti;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine tasmaniensis;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine atzi;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine insolita;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine maculata;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine nelsoni ;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine bancroftii;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine brasiliensis;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine ornata;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine rierai;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine vermiculatus ;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine leoparda ;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine lingula ;NA;2.280112237;3.583518938;21.00;3.044522438
Narcine oculifera ;NA;2.280112237;3.583518938;21.00;3.044522438
Narke japonica;NA;NA;3.465735903;3.00;1.098612289
Narke capensis;NA;NA;3.465735903;3.00;1.098612289
Narke dipterygia;NA;NA;3.465735903;3.00;1.098612289
Nasolamia velox;0.22;NA;5.010635294;1.00;0
Nebrius ferrugineus;NA;NA;5.768320996;1.00;0
Negaprion brevirostris;0.37;6.23495524;5.886104031;2.00;0.693147181
Negaprion acutidens;0.37;6.23495524;5.886104031;2.00;0.693147181
Neoharriotta pinnata;NA;NA;4.86753445;1.00;0
Neoraja caerulea;NA;NA;3.445214267;5.00;1.609437912
Neoraja iberica;NA;NA;3.445214267;5.00;1.609437912
Neotrygon kuhlii;NA;NA;4.051784948;8.00;2.079441542
Neotrygon annotata;NA;NA;4.051784948;8.00;2.079441542
Notoraja azurea;NA;NA;4.166665224;12.00;2.48490665
Notorynchus cepedianus;NA;5.876801639;5.703782475;1.00;0
Odontaspis ferox;10.7;6.561690053;6.012491914;2.00;0.693147181
Odontaspis noronhai;10.7;6.561690053;6.012491914;2.00;0.693147181
Okamejei meerdervoortii;NA;NA;3.526360525;13.00;2.564949357
Okamejei hollandi;NA;NA;3.526360525;13.00;2.564949357
Okamejei arafurensis;NA;NA;3.526360525;13.00;2.564949357
Okamejei cairae ;NA;NA;3.526360525;13.00;2.564949357
Okamejei heemstrai ;NA;NA;3.526360525;13.00;2.564949357
Okamejei leptoura;NA;NA;3.526360525;13.00;2.564949357
Okamejei ornata ;NA;NA;3.526360525;13.00;2.564949357
Okamejei pita ;NA;NA;3.526360525;13.00;2.564949357
Okamejei schmidti;NA;NA;3.526360525;13.00;2.564949357
Orectolobus maculatus;246;NA;5.007965066;10.00;2.302585093
Orectolobus leptolineatus;246;NA;5.007965066;10.00;2.302585093
Orectolobus japonicus;246;NA;5.007965066;10.00;2.302585093
Orectolobus parvimaculatus;246;NA;5.007965066;10.00;2.302585093
Orectolobus hutchinsi;246;NA;5.007965066;10.00;2.302585093
Orectolobus ornatus;246;NA;5.007965066;10.00;2.302585093
Orectolobus wardi;246;NA;5.007965066;10.00;2.302585093
Orectolobus floridus;246;NA;5.007965066;10.00;2.302585093
Oxynotus paradoxus;NA;NA;4.532599493;5.00;1.609437912
Oxynotus centrina;NA;NA;4.532599493;5.00;1.609437912
Oxynotus caribbaeus;NA;NA;4.532599493;5.00;1.609437912
Oxynotus japonicus;NA;NA;4.532599493;5.00;1.609437912
Pavoraja nitida;NA;NA;3.526360525;6.00;1.791759469
Pavoraja alleni;NA;NA;3.526360525;6.00;1.791759469
Pavoraja arenaria;NA;NA;3.526360525;6.00;1.791759469
Pavoraja mosaica;NA;NA;3.526360525;6.00;1.791759469
Pavoraja pseudonitida;NA;NA;3.526360525;6.00;1.791759469
Paragaleus pectoralis;0.62;NA;4.624972813;6.00;1.791759469
Paragaleus leucolomatus;0.62;NA;4.624972813;6.00;1.791759469
Paragaleus randalli ;0.62;NA;4.624972813;6.00;1.791759469
Paragaleus tengi ;0.62;NA;4.624972813;6.00;1.791759469
Parascyllium collare;NA;NA;4.317488114;5.00;1.609437912
Parascyllium elongatum;NA;NA;4.317488114;5.00;1.609437912
Parascyllium ferrugineum ;NA;NA;4.317488114;5.00;1.609437912
Parascyllium variolatum ;NA;NA;4.317488114;5.00;1.609437912
Parmaturus xaniurus;0.19;NA;3.951243719;9.00;2.197224577
Parmaturus albimarginatus;0.19;NA;3.951243719;9.00;2.197224577
Parmaturus bigus;0.19;NA;3.951243719;9.00;2.197224577
Parmaturus campechiensis;0.19;NA;3.951243719;9.00;2.197224577
Parmaturus lanatus ;0.19;NA;3.951243719;9.00;2.197224577
Parmaturus macmillani;0.19;NA;3.951243719;9.00;2.197224577
Parmaturus melanobranchus;0.19;NA;3.951243719;9.00;2.197224577
Parmaturus xaniurus;0.19;NA;3.951243719;9.00;2.197224577
Pastinachus sephen ;NA;NA;5.209486153;1.00;0
Paratrygon aiereba;NA;5.164785974;4.382026635;1.00;0
Platyrhina sinensis;NA;NA;4.219507705;4.00;1.386294361
Platyrhinoidis triseriata;NA;NA;4.510859507;1.00;0
Plesiobatis daviesi;NA;NA;5.598421959;1.00;0
Pliotrema warreni;NA;NA;5.135798437;1.00;0
Poroderma africanum;240;NA;4.527208645;2.00;0.693147181
Poroderma pantherinum;240;NA;4.527208645;2.00;0.693147181
Prionace glauca;0.17;6.243827037;5.991464547;1.00;0
Pristiophorus nudipinnis;NA;NA;4.644390899;7.00;1.945910149
Pristiophorus cirratus;NA;NA;4.644390899;7.00;1.945910149
Pristiophorus japonicus;NA;NA;4.644390899;7.00;1.945910149
Pristiophorus lanae ;NA;NA;4.644390899;7.00;1.945910149
Pristiophorus nudipinnis;NA;NA;4.644390899;7.00;1.945910149
Pristiophorus schroederi ;NA;NA;4.644390899;7.00;1.945910149
Pristiophorus nancyae;NA;NA;4.644390899;7.00;1.945910149
Pristis pectinata;NA;6.759089807;6.390240667;6.00;1.791759469
Pristis zijsron;NA;6.759089807;6.390240667;6.00;1.791759469
Pristis clavata;NA;6.759089807;6.390240667;6.00;1.791759469
Pristis microdon;NA;6.759089807;6.390240667;6.00;1.791759469
Pristis perotteti;NA;6.759089807;6.390240667;6.00;1.791759469
Proscyllium habereri;13.24;NA;4.007333185;3.00;1.098612289
Proscyllium magnificum;13.24;NA;4.007333185;3.00;1.098612289
Proscyllium venustum;13.24;NA;4.007333185;3.00;1.098612289
Psammobatis lentiginosa;NA;NA;3.891820298;8.00;2.079441542
Proscymnodon macracanthus;NA;NA;4.219507705;2.00;0.693147181
Pseudocarcharias kamoharai;10.7;NA;4.700480366;1.00;0
Pseudoginglymostoma brevicaudatum;NA;NA;4.317488114;1.00;0
Pseudotriakis microdon;173;NA;5.59471138;1.00;0
Pteromylaeus asperrimus;NA;NA;4.369447852;1.00;0
Pteroplatytrygon violacea;NA;NA;5.093750201;1.00;0
Potamotrygon amandae;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon boesemani;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon brachyura ;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon constellata;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon falkneri ;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon hystrix;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon leopoldi ;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon limai ;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon magdalenae ;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon marinae;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon motoro ;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon orbignyi;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon pantanensis;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon schroederi;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon schuhmacheri;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon scobina;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon signata ;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon tatianae;NA;6.925029158;3.897924081;30.00;3.401197382
Potamotrygon yepezi ;NA;6.925029158;3.897924081;30.00;3.401197382
Raja stellulata;NA;5.577711194;4.58169683;29.00;3.36729583
Raja rhina;NA;5.577711194;4.58169683;29.00;3.36729583
Raja inornata;NA;5.577711194;4.58169683;29.00;3.36729583
Raja binoculata;NA;5.577711194;4.58169683;29.00;3.36729583
Raja montagui;NA;5.577711194;4.58169683;29.00;3.36729583
Raja polystigma;NA;5.577711194;4.58169683;29.00;3.36729583
Raja miraletus;NA;5.577711194;4.58169683;29.00;3.36729583
Raja microocellata;NA;5.577711194;4.58169683;29.00;3.36729583
Raja brachyura;NA;5.577711194;4.58169683;29.00;3.36729583
Raja straeleni;NA;5.577711194;4.58169683;29.00;3.36729583
Raja maderensis;NA;5.577711194;4.58169683;29.00;3.36729583
Raja clavata;NA;5.577711194;4.58169683;29.00;3.36729583
Raja asterias;NA;5.577711194;4.58169683;29.00;3.36729583
Raja radula;NA;5.577711194;4.58169683;29.00;3.36729583
Raja undulata;NA;5.577711194;4.58169683;29.00;3.36729583
Raja eglanteria;NA;5.577711194;4.58169683;29.00;3.36729583
Rajella bigelowi;NA;NA;4.223909767;18.00;2.890371758
Rajella bathyphila;NA;NA;4.223909767;18.00;2.890371758
Rajella fyllae;NA;NA;4.223909767;18.00;2.890371758
Rhina ancylostoma;NA;6.109247583;5.703782475;1.00;0
Rhinochimaera africana;NA;NA;4.859812404;3.00;1.098612289
Rhinochimaera atlantica;NA;NA;4.859812404;3.00;1.098612289
Rhinochimaera pacifica;NA;NA;4.859812404;3.00;1.098612289
Rhincodon typus;NA;9.964112174;7.377758908;1.00;0
Rhinobatos thouin;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos cemiculus;NA;5.593173826;5.602118821;33.00;3.496507561
Rhynchobatus djiddensis;NA;5.593173826;5.602118821;33.00;3.496507561
Rhynchobatus australiae;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatus ancylostoma;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos productus;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos glaucostigma;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos lentiginosus;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos horkelii;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos leucospilus;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos annulatus;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos punctifer;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos rhinobatos;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos penggali;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos jimbaranensis;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinobatos formosensis;NA;5.593173826;5.602118821;33.00;3.496507561
Rhinoptera adspersa;NA;3.521483548;4.890349128;8.00;2.079441542
Rhinoptera bonasus;NA;3.521483548;4.890349128;8.00;2.079441542
Rhinoptera brasieliensis;NA;3.521483548;4.890349128;8.00;2.079441542
Rhinoptera javanica ;NA;3.521483548;4.890349128;8.00;2.079441542
Rhinoptera marginata;NA;3.521483548;4.890349128;8.00;2.079441542
Rhinoptera neglecta;NA;3.521483548;4.890349128;8.00;2.079441542
Rhinoptera steidachneri;NA;3.521483548;4.890349128;8.00;2.079441542
Rhinoraja kujiensis;NA;NA;4.290459441;3.00;1.098612289
Rhinoraja longicauda;NA;NA;4.290459441;3.00;1.098612289
Rhinoraja odai ;NA;NA;4.290459441;3.00;1.098612289
Rhynchobatus australiae;NA;7.041286672;5.347107531;8.00;2.079441542
Rhynchobatus cooki ;NA;7.041286672;5.347107531;8.00;2.079441542
Rhynchobatus djiddensis;NA;7.041286672;5.347107531;8.00;2.079441542
Rhynchobatus immaculatus;NA;7.041286672;5.347107531;8.00;2.079441542
Rhynchobatus laevis;NA;NA;5.347107531;8.00;2.079441542
Rhizoprionodon longurio;0.78;NA;4.743365685;7.00;1.945910149
Rhizoprionodon porosus;0.78;NA;4.743365685;7.00;1.945910149
Rhizoprionodon terraenovae;0.78;NA;4.743365685;7.00;1.945910149
Rhizoprionodon acutus;0.78;NA;4.743365685;7.00;1.945910149
Rhizoprionodon taylori;0.78;NA;4.743365685;7.00;1.945910149
Rioraja agassizii;NA;NA;3.496507561;1.00;0
Rostroraja alba;NA;NA;5.438079309;1.00;0
Schroederichthys bivius;118;NA;4.248495242;5.00;1.609437912
Scoliodon macrorhynchos;0.36;NA;4.404277244;2.00;0.693147181
Scoliodon laticaudus;0.36;NA;4.404277244;2.00;0.693147181
Scyliorhinus torazame;246;NA;4.584967479;17.00;2.833213344
Scyliorhinus canicula;246;NA;4.584967479;17.00;2.833213344
Scyliorhinus stellaris;246;NA;4.584967479;17.00;2.833213344
Scyliorhinus retifer;246;NA;4.584967479;17.00;2.833213344
Scyliorhinus capensis;246;NA;4.584967479;17.00;2.833213344
Scylliogaleus quecketti;NA;NA;4.48863637;1.00;0
Scymnodon ringens;NA;NA;4.700480366;2.00;0.693147181
Sinobatis bulbicauda;NA;NA;3.768152635;8.00;2.079441542
Somniosus antarcticus;NA;NA;6.081647971;5.00;1.609437912
Somniosus pacificus;NA;NA;6.081647971;5.00;1.609437912
Somniosus microcephalus;NA;NA;6.081647971;5.00;1.609437912
Somniosus rostratus;NA;NA;6.081647971;5.00;1.609437912
Sphyrna media;2.7;NA;5.68744982;9.00;2.197224577
Sphyrna tudes;2.7;NA;5.68744982;9.00;2.197224577
Sphyrna corona;2.7;NA;5.68744982;9.00;2.197224577
Sphyrna tiburo;2.7;NA;5.68744982;9.00;2.197224577
Sphyrna lewini;2.7;NA;5.68744982;9.00;2.197224577
Sphyrna mokarran;2.7;NA;5.68744982;9.00;2.197224577
Sphyrna zygaena;2.7;NA;5.68744982;9.00;2.197224577
Spinaraja whitleyi;NA;NA;5.135798437;1.00;0
Squaliolus aliae;NA;NA;4.33073334;2.00;0.693147181
Squalus mitsukurii;NA;NA;4.33073334;2.00;0.693147181
Squalus cubensis;NA;NA;4.33073334;2.00;0.693147181
Squalus chloroculus;NA;NA;4.33073334;2.00;0.693147181
Squalus montalbani;NA;NA;4.33073334;2.00;0.693147181
Squalus grahami;NA;NA;4.33073334;2.00;0.693147181
Squalus hemipinnis;NA;NA;4.33073334;2.00;0.693147181
Squalus edmundsi;NA;NA;4.33073334;2.00;0.693147181
Squalus japonicus;NA;NA;4.33073334;2.00;0.693147181
Squalus nasutus;NA;NA;4.33073334;2.00;0.693147181
Squalus albifrons;NA;NA;4.33073334;2.00;0.693147181
Squalus crassispinus;NA;NA;4.33073334;2.00;0.693147181
Squalus acanthias;NA;NA;4.648229675;35.00;3.555348061
Squalus suckleyi;NA;NA;4.648229675;35.00;3.555348061
Squalus brevirostris;NA;NA;4.648229675;35.00;3.555348061
Squalus megalops;NA;NA;4.648229675;35.00;3.555348061
Squalus blainville;NA;NA;4.648229675;35.00;3.555348061
Squatina legnota;NA;NA;4.913683768;24.00;3.17805383
Squatina formosa;NA;NA;4.913683768;24.00;3.17805383
Squatina tergocellatoides;NA;NA;4.913683768;24.00;3.17805383
Squatina japonica;NA;NA;4.913683768;24.00;3.17805383
Squatina squatina;NA;NA;4.913683768;24.00;3.17805383
Squatina aculeata;NA;NA;4.913683768;24.00;3.17805383
Squatina oculata;NA;NA;4.913683768;24.00;3.17805383
Squatina pseudocellata;NA;NA;4.913683768;24.00;3.17805383
Squatina tergocellata;NA;NA;4.913683768;24.00;3.17805383
Squatina albipunctata;NA;NA;4.913683768;24.00;3.17805383
Squatina australis;NA;NA;4.913683768;24.00;3.17805383
Squatina occulta;NA;NA;4.913683768;24.00;3.17805383
Squatina guggenheim;NA;NA;4.913683768;24.00;3.17805383
Squatina dumeril;NA;NA;4.913683768;24.00;3.17805383
Squatina californica;NA;NA;4.913683768;24.00;3.17805383
Squatina africana;NA;NA;4.913683768;24.00;3.17805383
Stegostoma fasciatum;NA;NA;5.869296913;1.00;0
Sympterygia acuta;NA;NA;4.317488114;4.00;1.386294361
Sympterygia bonapartii;NA;NA;4.317488114;4.00;1.386294361
Sympterygia brevicaudata;NA;NA;4.317488114;4.00;1.386294361
Sympterygia lima;NA;NA;4.317488114;4.00;1.386294361
Sutorectus tentaculatus;NA;NA;4.521788577;1.00;0
Taeniura grabata;NA;NA;5.521460918;4.00;1.386294361
Torpedo fuscomaculata;NA;NA;4.629862799;11.00;2.397895273
Torpedo torpedo;NA;NA;4.629862799;11.00;2.397895273
Torpedo sinuspersici;NA;NA;4.629862799;11.00;2.397895273
Torpedo mackayana;NA;NA;4.629862799;11.00;2.397895273
Torpedo marmorata;NA;NA;4.629862799;11.00;2.397895273
Torpedo nobiliana;NA;NA;4.629862799;11.00;2.397895273
Torpedo macneilli;NA;NA;4.629862799;11.00;2.397895273
Torpedo californica;NA;NA;4.629862799;11.00;2.397895273
Triaenodon obesus;0.98;NA;5.361292166;1.00;0
Triakis megalopterus;3.73;NA;5.093750201;5.00;1.609437912
Triakis semifasciata;3.73;NA;5.093750201;5.00;1.609437912
Triakis scyllium;3.73;NA;5.093750201;5.00;1.609437912
Trigonognathus kabeyai;NA;NA;3.850147602;1.00;0
Trygonoptera mucosa;NA;NA;3.981175864;6.00;1.791759469
Trygonoptera imitata;NA;NA;3.981175864;6.00;1.791759469
Trygonoptera testacea;NA;NA;3.981175864;6.00;1.791759469
Trygonoptera personata;NA;NA;3.981175864;6.00;1.791759469
Trygonoptera ovalis;NA;NA;3.981175864;6.00;1.791759469
Trygonorrhina fasciata;NA;NA;4.836281907;3.00;1.098612289
Typhlonarke aysoni;NA;NA;3.63758616;2.00;0.693147181
Urogymnus acanthobothrium ;NA;NA;4.727387819;7.00;1.945910149
Urogymnus asperrimus;NA;NA;4.727387819;7.00;1.945910149
Urogymnus dalyensis;NA;NA;4.727387819;7.00;1.945910149
Urogymnus granulatus;NA;NA;4.727387819;7.00;1.945910149
Urogymnus lobistoma;NA;NA;4.727387819;7.00;1.945910149
Urobatis jamaicensis;NA;NA;4.122283931;7.00;1.945910149
Urobatis concentricus;NA;NA;4.122283931;7.00;1.945910149
Urolophus halleri;NA;NA;3.889777396;22.00;3.091042453
Urolophus maculatus;NA;NA;3.889777396;22.00;3.091042453
Urolophus sufflavus;NA;NA;3.889777396;22.00;3.091042453
Urolophus cruciatus;NA;NA;3.889777396;22.00;3.091042453
Urolophus lobatus;NA;NA;3.889777396;22.00;3.091042453
Urolophus paucimaculatus;NA;NA;3.889777396;22.00;3.091042453
Urolophus kapalensis;NA;NA;3.889777396;22.00;3.091042453
Urolophus viridis;NA;NA;3.889777396;22.00;3.091042453
Urolophus expansus;NA;NA;3.889777396;22.00;3.091042453
Urolophus aurantiacus;NA;NA;3.889777396;22.00;3.091042453
Urolophus westraliensis;NA;NA;3.889777396;22.00;3.091042453
Urolophus flavomosaicus;NA;NA;3.889777396;22.00;3.091042453
Urolophus bucculentus;NA;NA;3.889777396;22.00;3.091042453
Urotrygon rogersi;NA;NA;3.832979798;13.00;2.564949357
Zameus squamulosus;NA;NA;4.430816799;2.00;0.693147181
Zapteryx brevirostris;NA;NA;3.988984047;3.00;1.098612289
Zearaja chilensis;NA;NA;4.888844237;3.00;1.098612289
Zearaja nasuta;NA;NA;4.888844237;3.00;1.098612289
Zearaja maugeana;NA;NA;4.888844237;3.00;1.098612289
Zanobatus schoenleinii;NA;NA;4.605170186;1.00;0
